Campaign_Name,Campaign_Type,Recipient_ID,Delivery_Status,Open_Status,Click_Status,Conversion_Status,Engagement_Time,Sent_Timestamp,Opened_Timestamp,Clicked_Timestamp,Converted_Timestamp,Recipient_Age,Recipient_Gender,Recipient_Location,Click_Through_Rate
Black Friday,Email,1,Bounced,Not Opened,Not Clicked,Not Converted,425,2025-01-04 05:34:18,2025-01-08 02:47:11,2025-01-09 14:01:40,Not Converted,65,Non-Binary,Los Angeles,0.0
New Product Launch,Email,2,Delivered,Opened,Clicked,Converted,143,2025-01-24 02:49:43,2025-01-24 04:59:23,Not Clicked,Not Converted,20,Non-Binary,Los Angeles,1.0
Winter Fest,SMS,3,Delivered,Not Opened,Not Clicked,Not Converted,239,2024-12-28 20:38:18,2025-01-08 00:11:22,Not Clicked,Not Converted,46,Non-Binary,Los Angeles,0.0
Summer Sale,Push Notification,4,Delivered,Opened,Clicked,Converted,159,2025-01-06 00:28:42,Not Opened,Not Clicked,2025-01-22 03:21:13,25,Non-Binary,Houston,1.0
Black Friday,Email,5,Bounced,Not Opened,Clicked,Converted,436,2025-01-14 10:54:24,2025-01-17 05:51:36,Not Clicked,Not Converted,33,Male,Miami,0.0
Summer Sale,Email,6,Delivered,Not Opened,Clicked,Converted,405,2025-01-02 12:44:52,Not Opened,2025-01-19 21:35:53,2025-01-13 07:20:23,31,Female,Chicago,1.0
Holiday Specials,Push Notification,7,Bounced,Opened,Clicked,Not Converted,281,2025-01-17 19:27:43,Not Opened,2025-01-05 02:13:27,Not Converted,53,Female,Miami,0.0
Summer Sale,Push Notification,8,Delivered,Opened,Not Clicked,Converted,280,2025-01-06 08:46:53,Not Opened,Not Clicked,2025-01-07 09:02:29,48,Non-Binary,Miami,0.0
Holiday Specials,Email,9,Bounced,Opened,Not Clicked,Converted,295,2025-01-09 03:45:59,Not Opened,2025-01-01 13:35:41,2025-01-11 21:54:45,37,Female,Miami,0.0
Holiday Specials,Email,10,Delivered,Opened,Clicked,Not Converted,217,2025-01-20 14:47:30,Not Opened,Not Clicked,2024-12-31 07:50:16,38,Female,New York,1.0
Black Friday,SMS,11,Delivered,Opened,Not Clicked,Not Converted,86,2025-01-07 03:36:24,Not Opened,2025-01-13 23:04:48,Not Converted,63,Male,San Francisco,0.0
Winter Fest,Email,12,Delivered,Opened,Clicked,Not Converted,494,2025-01-12 17:52:53,2025-01-10 11:18:10,2025-01-26 02:53:59,2025-01-11 11:38:48,56,Female,New York,1.0
Holiday Specials,Push Notification,13,Delivered,Not Opened,Clicked,Not Converted,326,2025-01-13 04:14:02,Not Opened,Not Clicked,2025-01-11 15:25:31,34,Female,Houston,1.0
Holiday Specials,SMS,14,Bounced,Opened,Not Clicked,Not Converted,545,2025-01-15 21:12:59,2025-01-13 11:33:13,2025-01-19 00:47:06,2025-01-12 07:47:52,21,Female,Chicago,0.0
Holiday Specials,SMS,15,Delivered,Not Opened,Clicked,Converted,265,2024-12-28 08:44:11,Not Opened,Not Clicked,2025-01-21 20:04:09,47,Non-Binary,Los Angeles,1.0
Winter Fest,Push Notification,16,Bounced,Opened,Not Clicked,Converted,139,2025-01-26 21:39:34,2025-01-08 03:45:50,2025-01-15 14:20:25,Not Converted,60,Non-Binary,Houston,0.0
Summer Sale,Email,17,Delivered,Not Opened,Clicked,Not Converted,527,2025-01-16 03:20:36,2025-01-24 04:04:59,Not Clicked,2024-12-31 01:41:22,33,Female,Miami,1.0
Black Friday,Push Notification,18,Delivered,Not Opened,Clicked,Not Converted,491,2025-01-02 08:25:48,Not Opened,2025-01-09 02:53:02,Not Converted,47,Female,San Francisco,1.0
New Product Launch,Email,19,Delivered,Opened,Not Clicked,Not Converted,3,2024-12-29 09:19:00,2025-01-21 09:13:55,Not Clicked,2025-01-26 21:19:38,41,Male,San Francisco,0.0
New Product Launch,SMS,20,Bounced,Opened,Clicked,Not Converted,217,2025-01-25 23:41:58,Not Opened,2025-01-22 02:17:17,2025-01-24 15:22:27,62,Female,Miami,0.0
Holiday Specials,Push Notification,21,Delivered,Opened,Not Clicked,Not Converted,99,2025-01-26 10:07:24,Not Opened,2025-01-01 23:54:19,2025-01-10 20:58:04,26,Non-Binary,Miami,0.0
Winter Fest,Push Notification,22,Delivered,Opened,Clicked,Converted,442,2025-01-08 07:19:39,2025-01-19 01:10:59,Not Clicked,2025-01-11 15:45:37,63,Non-Binary,Miami,1.0
Holiday Specials,Push Notification,23,Delivered,Not Opened,Clicked,Converted,129,2024-12-30 21:00:38,2025-01-11 14:00:18,Not Clicked,Not Converted,34,Female,Miami,1.0
New Product Launch,Email,24,Bounced,Not Opened,Not Clicked,Not Converted,481,2025-01-01 07:40:47,2024-12-30 16:26:01,2025-01-02 15:35:05,2025-01-25 22:39:05,36,Male,Miami,0.0
New Product Launch,Push Notification,25,Delivered,Not Opened,Not Clicked,Converted,268,2025-01-23 14:48:46,2025-01-12 06:51:06,Not Clicked,2025-01-09 22:11:48,18,Non-Binary,Los Angeles,0.0
Summer Sale,Push Notification,26,Bounced,Not Opened,Not Clicked,Converted,31,2025-01-24 22:51:16,Not Opened,Not Clicked,Not Converted,37,Female,New York,0.0
Black Friday,Email,27,Delivered,Opened,Not Clicked,Converted,64,2025-01-26 00:55:53,2025-01-15 02:21:12,Not Clicked,Not Converted,59,Female,New York,0.0
